trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-161.7385605217622,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,6.5127406824945835,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-10.413322228609672,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,7,-66.58331594128181,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,3,13.781964000386473,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-18.42508874569408,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-90.18997458120741,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,21,7.576461716986213,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-9.167331558221425,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,11.022868160888137,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,18.97031595269773,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-51.90275622574306,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-13.302489910392172,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,29.973663492868173,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,13,10.578121933413978,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,6,32.28767711380105,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,15,9.9000260599478,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,11,18.994295581849414,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-11.781516197916115,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,32.81333163860502,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,3,23.38509427106403,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,13,22.813395244710268,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,13,-4.281127168036116,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-6.8976057507968855,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,12,21.699544024810013,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,0,14.1427074403765,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,2,21.732128610328484,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,2.5890809573503013,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,16,26.808289440412416,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,10,-30.569335718565718,"{0: 12, 1: 1, 2: 0, 3: 2, 4: 0}",1
