trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.999}",25,0,-128.1860102944217,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.997002999}",35,15,-105.68623502924315,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",1
3,False,"{'a': 0.2, 'e': 0.994014980014994}",25,0,-7.503944601584878,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.9900448802097482}",20,8,22.429916151874625,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.2, 'e': 0.9851045463620021}",25,8,-15.682702333524677,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.2, 'e': 0.9792086759647052}",25,3,31.64345193456984,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.9723747443770956}",20,0,-51.420286606704856,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.9646229185299474}",20,0,14.421378027500996,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.9559759577813408}",30,18,20.521948985828384,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.2, 'e': 0.9464591026050269}",25,3,2.6077600141631447,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.9360999518731575}",20,3,20.759199897792374,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.2, 'e': 0.9249283295681427}",20,14,10.13922320442684,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.9129761418240959}",20,3,19.713257371365437,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.2, 'e': 0.900277225256213}",25,5,9.204517770315961,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.8868671875860635}",20,0,19.619644848142794,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.8727832416118033}",25,13,11.390093506571944,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.8580640336044917}",25,17,9.216711524166627,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.8427494672348408}",20,0,-14.447962255379599,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.8268805241487625}",25,0,-3.544763188599492,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.8104990823150261}",25,14,17.30514365036962,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.2, 'e': 0.7936477332643053}",25,10,21.539787126223498,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.2, 'e': 0.7763695993260576}",20,10,2.7068009898670606,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.2, 'e': 0.7587081519483344}",30,18,20.37098721371746,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.2, 'e': 0.7407070321560991}",20,12,13.817238440654288,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.2, 'e': 0.7224098741663905}",20,6,12.497762896349181,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.2, 'e': 0.703860133134169}",20,0,30.288057837637144,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.6851009179515175}",20,15,11.185711161135675,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.2, 'e': 0.6661748299656204}",20,0,-35.51783498015056,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.6471238084182769}",20,0,34.82876722053102,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.2, 'e': 0.6279889833423202}",20,2,25.67573541626606,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.6088105365789142}",25,9,27.43383814719916,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.2, 'e': 0.5896275715050473}",30,0,41.737400373995435,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.2, 'e': 0.5704779919833761}",20,0,11.42653699424835,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
34,False,"{'a': 0.2, 'e': 0.5513983909676525}",30,16,26.97548042564052,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.2, 'e': 0.532423949117051}",20,14,10.19632370169524,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.2, 'e': 0.51358834369253}",30,24,12.388589327953262,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.2, 'e': 0.4949236679286344}",25,9,9.66721849554375,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
38,False,"{'a': 0.2, 'e': 0.47646036099556516}",20,0,13.977237488369271,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.2, 'e': 0.45822714858955965}",20,6,5.058798247180663,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.2, 'e': 0.44025099411526136}",20,8,19.322700102947906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.2, 'e': 0.42255706035237756}",20,7,23.693449845803674,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.2, 'e': 0.4051686814310495}",20,6,13.617371573954737,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.2, 'e': 0.38810734487645854}",25,3,37.58911663824464,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.37139268342366927}",20,5,4.541070464340093,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.35504247624892454}",20,10,18.503794705324918,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.3390726592138395}",20,10,-24.547033449176983,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.2, 'e': 0.32349734367442773}",20,1,31.180882402394626,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.3083288433677972}",20,7,21.902843945813483,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.2935777088557854}",30,21,8.741882723962213,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.2792527689768125}",20,10,16.48667623100311,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.2653611787348091}",20,9,22.592606105880815,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
