trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,17,-139.62642136119166,"{0: 9, 1: 0, 2: 5, 3: 3, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.03574818818805,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.92671841827401,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,17,-12.73856501816061,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-341.29042839376285,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 6}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.81575063238657,"{0: 15, 1: 2, 2: 11, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.442686449873406,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-204.39577976827627,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.42826116266738,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-319.4272465325566,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-108.87880894377999,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-306.0690394946244,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.828182087216,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.81867911180264,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.31640802292712,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.24835428721653,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.03011667298088,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,12,-95.18197618253342,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.91756277539798,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.6371527222447,"{0: 13, 1: 5, 2: 10, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.0534487471775,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-79.75822313573563,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-40.47347399412284,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.33180105737628,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.77883152974007,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.41779369946303,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.82018340396018,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-229.39034857435598,"{0: 11, 1: 1, 2: 6, 3: 5, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.3051953523531,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-184.34054544387737,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
